,MAKE A COPY TO BEGIN YOUR WORK. THIS IS A READ ONLY FILE,,,,,,,,,,,,,
2021-05-09,6848434068,06/25/2014,SARAH,franklin,Flight Status,,,LAX,ATL,FALSE,,-1,21,FALSE
2023-06-30,6848434068,25-06-2014,sarah,Franklin,Flight Deal,J56121162,TRUE,LAX,BOS,TRUE,FALSE,11,7,FALSE
2024-06-10,6848434068,06/25/2014,sarah,Franklin,Cancel Flight,P49045398,,JFK,BOS,FALSE,FALSE,10,1,TRUE
2022-03-18,6848434068,2014/06/25,SARAH,franklin,Cancel Flight,Z50251132,FALSE,DEN,SFO,FALSE,FALSE,14,20,TRUE
2021-05-14,3543617704,21-04-2005,ANGELA,jackson,Cancel Flight,U76555297,TRUE,ORD,MIA,FALSE,,-1,5,FALSE
2022-02-05,3543617704,2005/04/21,angela,Jackson,Cancel Flight,C50642074,TRUE,MIA,JFK,TRUE,TRUE,-1,13,FALSE
2022-07-08,3543617704,2005/04/21,angela,Jackson,Flight Status,P38875560,FALSE,SEA,ATL,,TRUE,0,10,FALSE
2024-06-20,3543617704,21-04-2005,ANGELA,Jackson,Flight Status,F66765413,TRUE,JFK,LAX,TRUE,FALSE,12,5,TRUE
2022-02-26,,1998/07/30,wendy,miller,New Flight,X49089555,FALSE,ttt,SFO,,,0,2,TRUE
2023-10-05,3416036100,30-07-1998,wendy,Miller,Flight Deal,D61516199,TRUE,LAX,JFK,,FALSE,-1,6,TRUE
2022-08-02,3416036100,07/30/1998,wendy,miller,Flight Status,E97692681,FALSE,LAX,DFW,TRUE,FALSE,-1,11,FALSE
2021-06-04,160684271,31-07-1999,joseph,cook,Flight Deal,M78003729,TRUE,SFO,DFW,TRUE,TRUE,9,,FALSE
2023-07-18,160684271,1999/07/31,joseph,cook,Flight Status,G04136132,FALSE,SFO,DFW,TRUE,TRUE,3,1,TRUE
2024-09-30,160684271,07/31/1999,joseph,Cook,Flight Deal,B50178715,FALSE,SFO,SEA,FALSE,TRUE,,15,TRUE
2024-04-07,160684271,31-07-1999,joseph,Cook,Flight Status,I29981227,FALSE,DEN,SEA,FALSE,,3,14,TRUE
2022-01-29,160684271,31-07-1999,JOSEPH,Cook,New Flight,N33127228,TRUE,BOS,,TRUE,TRUE,11,20,TRUE
2021-05-11,160684271,07/31/1999,,Cook,Flight Status,Z64449006,FALSE,BOS,DEN,TRUE,TRUE,0,,FALSE
2022-05-05,160684271,1999/07/31,joseph,cook,Flight Status,Y98667706,FALSE,ttt,ATL,FALSE,FALSE,1,17,TRUE
2023-12-10,160684271,1999/07/31,JOSEPH,Cook,Cancel Flight,R33234375,TRUE,SEA,DEN,TRUE,FALSE,-1,3,TRUE
2021-03-22,160684271,07/31/1999,joseph,cook,Flight Status,L82081507,,SFO,YYY,FALSE,TRUE,0,4,FALSE
2024-09-28,160684271,,JOSEPH,Cook,Flight Deal,Q67091102,FALSE,BOS,ATL,TRUE,TRUE,0,15,TRUE
2022-01-07,,2022/02/13,veronica,wright,Cancel Flight,Q42848128,TRUE,SFO,LAX,TRUE,TRUE,-1,8,TRUE
2023-09-28,3216482669,02/13/2022,veronica,Wright,Flight Deal,,FALSE,SEA,ATL,FALSE,FALSE,-1,11,FALSE
2024-05-10,3216482669,02/13/2022,VERONICA,Wright,Flight Deal,I89547411,FALSE,DFW,SFO,FALSE,FALSE,11,15,TRUE
2023-09-26,3216482669,02/13/2022,VERONICA,wright,New Flight,M09283921,FALSE,BOS,JFK,TRUE,TRUE,0,3,TRUE
2021-01-06,3216482669,02/13/2022,VERONICA,Wright,Flight Deal,O74344347,FALSE,BOS,DFW,TRUE,FALSE,-1,1,FALSE
2022-12-07,3216482669,13-02-2022,VERONICA,wright,New Flight,H03963131,TRUE,DEN,ATL,FALSE,TRUE,-1,5,FALSE
2022-04-07,3216482669,2022/02/13,veronica,wright,Cancel Flight,K19558350,TRUE,SEA,,,FALSE,-1,10,FALSE
2021-02-08,3216482669,2022/02/13,VERONICA,wright,Flight Status,A38307576,FALSE,ATL,DFW,FALSE,FALSE,-1,17,FALSE
2023-07-12,3216482669,02/13/2022,VERONICA,wright,Flight Deal,Z46272765,FALSE,LAX,,,FALSE,1,17,FALSE
2024-01-01,3216482669,13-02-2022,veronica,Wright,New Flight,K52152154,FALSE,DEN,DFW,TRUE,FALSE,13,19,TRUE
2021-05-15,3792522346,2016/06/12,mark,pena,Flight Deal,C69927215,FALSE,ttt,JFK,FALSE,TRUE,4,25,FALSE
2023-04-15,3792522346,06/12/2016,MARK,pena,Flight Deal,D07478591,TRUE,ORD,ATL,FALSE,FALSE,0,15,FALSE
2021-01-30,,2016/06/12,MARK,pena,New Flight,W73556139,FALSE,DFW,SEA,FALSE,TRUE,-1,11,FALSE
2023-04-01,3792522346,12-06-2016,mark,Pena,Cancel Flight,Z53610168,FALSE,ORD,SFO,TRUE,TRUE,12,10,FALSE
2024-07-02,3792522346,12-06-2016,mark,Pena,Flight Deal,O06718275,FALSE,LAX,BOS,TRUE,TRUE,0,8,TRUE
2021-01-18,9301448789,07-07-2003,robert,williams,Flight Deal,U39004905,TRUE,LAX,ATL,TRUE,FALSE,0,7,TRUE
2021-04-14,9301448789,07/07/2003,ROBERT,williams,,A84206606,TRUE,LAX,JFK,TRUE,FALSE,-1,2,FALSE
2021-05-28,9301448789,07-07-2003,robert,Williams,Flight Status,C49308082,,DFW,,FALSE,FALSE,8,2,FALSE
2024-08-23,662883315,2018/11/05,charles,kramer,Flight Deal,A71232719,TRUE,DFW,MIA,TRUE,TRUE,0,8,TRUE
2022-02-19,662883315,11/05/2018,charles,kramer,New Flight,V08394595,FALSE,SEA,BOS,FALSE,FALSE,-1,22,FALSE
2023-08-04,662883315,2018/11/05,charles,kramer,New Flight,I17764347,TRUE,,JFK,TRUE,FALSE,12,6,TRUE
2021-05-03,662883315,05-11-2018,charles,kramer,Cancel Flight,G14384722,TRUE,JFK,BOS,TRUE,FALSE,2,,FALSE
2022-04-26,662883315,2018/11/05,CHARLES,Kramer,Flight Deal,H93698799,FALSE,MIA,SFO,FALSE,TRUE,0,10,FALSE
2024-05-30,6316370174,2024/08/04,JOSHUA,owens,,S15296531,TRUE,SEA,DFW,,TRUE,2,8,TRUE
2022-01-20,6316370174,08/04/2024,JOSHUA,Owens,New Flight,X72458484,TRUE,ttt,MIA,FALSE,FALSE,9,4,FALSE
2022-07-23,,08/04/2024,JOSHUA,owens,New Flight,L66635794,TRUE,SFO,MIA,FALSE,,-1,3,FALSE
2023-03-22,6316370174,04-08-2024,JOSHUA,Owens,Flight Deal,E48245845,FALSE,DFW,ORD,TRUE,FALSE,-1,10,TRUE
2023-01-15,6316370174,08/04/2024,joshua,Owens,Flight Status,P68236728,FALSE,DEN,BOS,FALSE,FALSE,4,8,FALSE
2022-05-11,4198060997,10/01/1996,jeffery,white,Flight Status,T40387030,TRUE,SEA,LAX,FALSE,FALSE,9,22,FALSE
2021-09-02,4198060997,01-10-1996,JEFFERY,White,Flight Deal,,TRUE,ATL,BOS,FALSE,FALSE,7,,FALSE
2023-11-28,4198060997,1996/10/01,jeffery,White,New Flight,X73150842,TRUE,ttt,LAX,FALSE,TRUE,3,14,FALSE
2022-09-28,4371951565,04/13/2012,chad,munoz,Flight Status,Q52430267,FALSE,MIA,DFW,FALSE,TRUE,0,7,FALSE
2022-05-27,4371951565,2012/04/13,CHAD,munoz,Flight Status,O16040148,,MIA,LAX,TRUE,FALSE,12,4,TRUE
2024-02-06,4371951565,04/13/2012,chad,munoz,Flight Deal,C34118010,TRUE,SEA,DEN,FALSE,TRUE,-1,6,TRUE
2022-10-29,9871805701,17-12-2012,JONATHAN,davis,Flight Deal,K40833257,TRUE,JFK,BOS,TRUE,FALSE,0,17,TRUE
2021-07-22,9871805701,2012/12/17,jonathan,davis,New Flight,A82555088,TRUE,LAX,ATL,FALSE,FALSE,11,13,TRUE
2023-04-11,9871805701,2012/12/17,JONATHAN,Davis,Flight Deal,L24271312,TRUE,SFO,DFW,TRUE,TRUE,0,17,TRUE
2022-03-10,9871805701,2012/12/17,JONATHAN,,New Flight,A73534161,TRUE,SFO,DEN,FALSE,FALSE,4,17,FALSE
2023-11-16,9871805701,2012/12/17,jonathan,Davis,Cancel Flight,I09127320,TRUE,MIA,LAX,TRUE,FALSE,9,15,TRUE
2023-02-05,1497300327,11/08/1999,carol,Sanders,New Flight,H31564566,FALSE,BOS,SFO,FALSE,,2,15,TRUE
2023-07-17,1497300327,,carol,Sanders,New Flight,F92231810,TRUE,ORD,ATL,TRUE,FALSE,4,2,TRUE
2022-01-04,,1999/11/08,CAROL,Sanders,Flight Deal,S67923999,FALSE,ORD,DEN,FALSE,TRUE,10,13,FALSE
2023-11-24,1497300327,08-11-1999,carol,Sanders,Cancel Flight,L53137635,TRUE,MIA,YYY,TRUE,TRUE,,17,TRUE
2021-10-21,1497300327,11/08/1999,carol,sanders,Flight Deal,D26985873,FALSE,MIA,BOS,FALSE,FALSE,-1,6,TRUE
2022-07-25,2875229218,06/17/1993,CHRISTY,Walters,Cancel Flight,J07977208,TRUE,SEA,MIA,,TRUE,-1,13,FALSE
2023-09-11,2875229218,06/17/1993,CHRISTY,Walters,New Flight,,FALSE,ORD,SFO,FALSE,FALSE,-1,2,FALSE
2023-04-28,2875229218,17-06-1993,christy,Walters,Flight Status,Z29643192,FALSE,JFK,DEN,FALSE,TRUE,0,10,TRUE
2021-08-13,2875229218,1993/06/17,christy,Walters,New Flight,F59158490,FALSE,JFK,,TRUE,TRUE,7,14,TRUE
2022-12-02,394191486,18-04-2003,jacob,hoffman,Flight Deal,S17404781,FALSE,JFK,DFW,FALSE,FALSE,-1,1,FALSE
2021-07-30,394191486,2003/04/18,jacob,hoffman,New Flight,E17505183,TRUE,SEA,JFK,FALSE,FALSE,-1,16,TRUE
2022-12-02,394191486,18-04-2003,,hoffman,Flight Deal,N93427935,FALSE,,SEA,FALSE,TRUE,-1,7,FALSE
2022-04-13,394191486,2003/04/18,,Hoffman,New Flight,A47164809,FALSE,ATL,ORD,TRUE,TRUE,0,20,
2022-09-10,2933796758,02/06/2007,OSCAR,cameron,Cancel Flight,S41734535,FALSE,LAX,SEA,FALSE,TRUE,0,9,TRUE
2023-09-04,2933796758,2007/02/06,OSCAR,Cameron,Flight Deal,Y88417033,TRUE,JFK,SFO,TRUE,TRUE,-1,17,TRUE
2023-01-01,2933796758,06-02-2007,OSCAR,cameron,,Y34504332,TRUE,DEN,MIA,TRUE,TRUE,2,,FALSE
2022-12-05,2933796758,2007/02/06,OSCAR,Cameron,Flight Deal,U56850485,FALSE,LAX,DEN,TRUE,TRUE,-1,24,FALSE
2024-09-08,6754118322,07-05-2001,justin,smith,,A87363228,TRUE,SEA,DFW,FALSE,FALSE,-1,12,TRUE
2021-04-19,6754118322,2001/05/07,JUSTIN,Smith,,K31512899,FALSE,ORD,BOS,FALSE,TRUE,0,10,FALSE
2021-10-29,6754118322,2001/05/07,JUSTIN,smith,,D65603089,FALSE,JFK,MIA,TRUE,TRUE,,15,FALSE
2022-04-04,1969264135,14-07-2008,MARK,Green,Flight Deal,A84935629,TRUE,DEN,SFO,TRUE,FALSE,3,15,TRUE
2023-12-14,,2008/07/14,mark,green,Cancel Flight,M69611377,FALSE,ORD,MIA,FALSE,TRUE,0,,
2023-11-29,1969264135,2008/07/14,mark,green,New Flight,Z43594511,,ttt,DFW,TRUE,,-1,8,FALSE
2024-04-05,1969264135,07/14/2008,mark,Green,Flight Deal,L42404586,TRUE,ttt,SEA,FALSE,TRUE,-1,21,TRUE
2023-07-06,7118807843,1991/11/05,NICOLE,Jimenez,Cancel Flight,U87463464,FALSE,ORD,SEA,TRUE,TRUE,8,16,FALSE
2023-12-19,7118807843,05-11-1991,nicole,jimenez,Flight Status,D19507517,TRUE,SEA,LAX,TRUE,TRUE,12,1,TRUE
2022-01-31,7118807843,11/05/1991,nicole,jimenez,Flight Status,F41373534,FALSE,DFW,BOS,TRUE,FALSE,,14,FALSE
2023-02-03,7118807843,,NICOLE,jimenez,New Flight,P11645451,FALSE,MIA,DFW,FALSE,TRUE,0,,TRUE
2023-06-24,7118807843,11/05/1991,nicole,Jimenez,Flight Deal,S67121691,TRUE,DEN,ATL,TRUE,,-1,9,TRUE
2022-06-24,6983644772,06/17/2002,christopher,,New Flight,,FALSE,ORD,ATL,TRUE,TRUE,-1,14,TRUE
2023-11-06,6983644772,2002/06/17,christopher,allen,,V81636449,TRUE,LAX,SFO,,TRUE,4,6,TRUE
2021-03-14,6983644772,2002/06/17,CHRISTOPHER,Allen,New Flight,P05215690,FALSE,LAX,DEN,FALSE,FALSE,4,7,
2024-05-20,6983644772,2002/06/17,christopher,allen,Flight Status,W50218065,FALSE,MIA,LAX,TRUE,TRUE,4,17,
2024-05-25,6234777694,12/16/2020,VICTORIA,,Flight Status,I70136192,TRUE,MIA,ATL,TRUE,,-1,21,TRUE
2021-02-18,6234777694,2020/12/16,VICTORIA,Lowery,Flight Status,N72476552,TRUE,JFK,ORD,TRUE,TRUE,11,6,FALSE
2022-09-05,6234777694,12/16/2020,VICTORIA,lowery,Flight Deal,D29803854,TRUE,SEA,DFW,FALSE,,8,2,TRUE
2024-09-12,6234777694,16-12-2020,victoria,Lowery,Cancel Flight,I26532365,TRUE,JFK,LAX,TRUE,TRUE,4,2,TRUE
2021-02-15,6234777694,16-12-2020,victoria,lowery,Flight Status,E13165915,TRUE,SFO,SEA,FALSE,TRUE,3,10,FALSE
2021-01-19,5557008422,11/27/1989,glenn,miller,Flight Status,,TRUE,MIA,ORD,FALSE,TRUE,0,10,FALSE
2023-02-07,5557008422,1989/11/27,glenn,miller,Flight Deal,N99366641,TRUE,DFW,BOS,FALSE,FALSE,,2,FALSE
2024-07-26,5557008422,1989/11/27,glenn,,New Flight,B13765849,TRUE,ORD,SEA,,TRUE,0,11,TRUE
2022-10-26,5557008422,11/27/1989,GLENN,Miller,Flight Status,F48192504,,ttt,LAX,TRUE,TRUE,3,17,FALSE
2022-08-13,5557008422,27-11-1989,glenn,Miller,Cancel Flight,N90836657,FALSE,ORD,YYY,FALSE,FALSE,0,1,TRUE
2022-09-15,5845673347,09-09-1990,thomas,Waters,New Flight,U89474179,FALSE,ATL,DFW,FALSE,FALSE,-1,14,FALSE
2022-07-29,5845673347,09/09/1990,thomas,Waters,Flight Status,X57760814,TRUE,BOS,SFO,TRUE,FALSE,-1,14,TRUE
2021-08-06,5845673347,09/09/1990,thomas,waters,New Flight,E90802988,FALSE,DFW,YYY,TRUE,FALSE,-1,6,TRUE
2022-11-04,5845673347,09-09-1990,THOMAS,waters,Cancel Flight,Z74548428,FALSE,DFW,DEN,TRUE,FALSE,9,4,FALSE
2021-12-28,1272242647,07/27/2011,geoffrey,anderson,Flight Status,W26091494,FALSE,LAX,ATL,FALSE,TRUE,-1,16,TRUE
2023-04-25,1272242647,07/27/2011,geoffrey,anderson,,L07664263,TRUE,SFO,LAX,,FALSE,-1,18,FALSE
2023-06-06,1272242647,27-07-2011,GEOFFREY,anderson,Flight Status,L80202505,,DFW,YYY,TRUE,FALSE,0,3,TRUE
2024-04-15,1272242647,27-07-2011,geoffrey,anderson,Flight Deal,Z53114620,,DEN,ATL,FALSE,TRUE,11,18,FALSE
2023-04-24,1272242647,27-07-2011,GEOFFREY,anderson,New Flight,M73210949,FALSE,LAX,MIA,FALSE,TRUE,-1,10,FALSE
2023-08-24,1272242647,2011/07/27,GEOFFREY,anderson,Flight Status,X05033270,FALSE,ORD,,TRUE,TRUE,-1,5,TRUE
2022-02-27,1272242647,2011/07/27,GEOFFREY,anderson,Flight Status,A44316744,FALSE,ATL,ORD,TRUE,FALSE,3,10,TRUE
2024-09-20,1272242647,07/27/2011,geoffrey,anderson,Flight Deal,D13959095,TRUE,ORD,ATL,FALSE,FALSE,-1,19,FALSE
2024-07-29,1272242647,07/27/2011,GEOFFREY,anderson,Flight Deal,N28201082,TRUE,SFO,ORD,TRUE,FALSE,0,7,TRUE
2023-01-11,1272242647,07/27/2011,GEOFFREY,Anderson,Flight Status,G28371470,TRUE,SFO,ATL,FALSE,,11,1,
2022-09-15,967266838,17-11-2000,richard,riley,Flight Status,,TRUE,MIA,YYY,TRUE,TRUE,0,21,TRUE
2023-03-03,967266838,11/17/2000,RICHARD,Riley,New Flight,B69570328,TRUE,LAX,SFO,,FALSE,-1,8,FALSE
2024-02-20,967266838,2000/11/17,richard,riley,Flight Status,H64835635,TRUE,ATL,LAX,TRUE,FALSE,-1,9,FALSE
2021-05-25,967266838,11/17/2000,richard,Riley,Flight Deal,U86666385,FALSE,MIA,SEA,TRUE,FALSE,0,,TRUE
2021-05-30,967266838,17-11-2000,richard,Riley,Flight Deal,E73078525,TRUE,MIA,SEA,FALSE,FALSE,13,6,TRUE
2022-02-03,967266838,2000/11/17,RICHARD,riley,Flight Status,B21148774,FALSE,LAX,DFW,FALSE,,0,,FALSE
2023-07-25,967266838,11/17/2000,richard,Riley,Cancel Flight,J83328713,,LAX,YYY,FALSE,FALSE,4,8,TRUE
2023-09-23,967266838,11/17/2000,RICHARD,Riley,Flight Status,F90235315,,MIA,SEA,,TRUE,0,24,TRUE
2021-07-13,967266838,17-11-2000,RICHARD,,Flight Deal,O20934450,FALSE,DFW,DEN,FALSE,FALSE,3,8,FALSE
2023-07-02,967266838,2000/11/17,RICHARD,Riley,Flight Status,R06703117,FALSE,SEA,LAX,FALSE,FALSE,,6,FALSE
2024-04-19,7530660055,03/03/2004,ERICA,douglas,,L41260197,TRUE,,JFK,FALSE,TRUE,8,15,FALSE
2022-07-10,7530660055,03/03/2004,,douglas,Cancel Flight,L51733103,TRUE,ORD,ATL,FALSE,,10,6,FALSE
2023-11-26,7530660055,2004/03/03,ERICA,douglas,Flight Deal,W22545031,FALSE,SFO,DFW,FALSE,TRUE,0,8,FALSE
2021-09-06,4937546245,2013/07/15,jacob,Olsen,New Flight,V12335836,,SEA,MIA,TRUE,FALSE,4,10,
2021-03-01,4937546245,15-07-2013,JACOB,Olsen,Cancel Flight,G34853935,TRUE,BOS,MIA,FALSE,TRUE,0,4,TRUE
2022-01-04,4937546245,,jacob,olsen,New Flight,N33486252,FALSE,,DEN,FALSE,FALSE,9,5,FALSE
2021-01-11,4937546245,2013/07/15,JACOB,olsen,Cancel Flight,U41368583,FALSE,,SEA,TRUE,FALSE,0,6,TRUE
2022-03-11,4937546245,07/15/2013,JACOB,olsen,Flight Status,M09409083,TRUE,ttt,SEA,TRUE,,2,4,FALSE
2022-08-11,3830205382,12/29/2015,JOHN,Nguyen,,W06533075,TRUE,LAX,DFW,FALSE,TRUE,0,10,TRUE
2022-05-16,3830205382,12/29/2015,john,Nguyen,New Flight,M24835330,FALSE,MIA,,,FALSE,0,2,TRUE
2022-05-20,3830205382,29-12-2015,JOHN,nguyen,New Flight,N33166668,TRUE,ttt,ATL,FALSE,TRUE,2,22,TRUE
2022-01-16,7646095472,30-03-2006,patrick,nolan,,O05444501,FALSE,JFK,MIA,FALSE,FALSE,9,13,TRUE
2023-05-23,7646095472,30-03-2006,PATRICK,Nolan,New Flight,Z29908981,TRUE,LAX,,TRUE,FALSE,,20,TRUE
2023-12-07,7646095472,2006/03/30,patrick,Nolan,Flight Deal,R46850921,TRUE,BOS,JFK,TRUE,FALSE,10,4,TRUE
2024-10-14,7646095472,30-03-2006,PATRICK,Nolan,Cancel Flight,S20631008,TRUE,SEA,MIA,TRUE,TRUE,10,10,FALSE
2023-12-17,3418314139,13-07-2020,REBECCA,webb,Flight Deal,O90932409,TRUE,DFW,SEA,FALSE,FALSE,2,,FALSE
2024-03-13,3418314139,2020/07/13,REBECCA,,New Flight,Z47742338,FALSE,MIA,,FALSE,TRUE,10,17,TRUE
2022-12-28,3418314139,13-07-2020,rebecca,Webb,Flight Status,P27602643,TRUE,DFW,LAX,FALSE,FALSE,-1,7,TRUE
2023-10-04,3418314139,2020/07/13,rebecca,webb,New Flight,H54267553,TRUE,,MIA,FALSE,FALSE,-1,15,FALSE
2024-02-11,3418314139,2020/07/13,rebecca,webb,,E80709644,TRUE,ttt,YYY,FALSE,TRUE,0,21,
2024-01-28,2258892026,05/10/2002,EMILY,Cortez,Flight Status,Z13908985,,SFO,DFW,TRUE,TRUE,12,17,FALSE
2021-06-30,2258892026,10-05-2002,emily,Cortez,Flight Deal,C18592966,FALSE,JFK,SEA,FALSE,TRUE,1,7,TRUE
2022-05-25,2258892026,2002/05/10,EMILY,cortez,,X75391921,FALSE,MIA,YYY,FALSE,TRUE,-1,10,FALSE
2022-03-06,2258892026,10-05-2002,emily,cortez,New Flight,G71730231,FALSE,LAX,YYY,TRUE,FALSE,9,2,FALSE
2024-08-17,1089329425,2011/04/24,ADAM,Hurley,New Flight,N29613547,FALSE,DEN,MIA,FALSE,,4,25,FALSE
2021-03-11,,24-04-2011,ADAM,hurley,,X95126288,FALSE,LAX,MIA,TRUE,FALSE,4,10,FALSE
2023-10-12,1089329425,24-04-2011,adam,Hurley,Flight Status,J47470856,FALSE,DFW,SEA,TRUE,TRUE,3,,FALSE
2023-07-19,1089329425,2011/04/24,adam,hurley,New Flight,A38516720,TRUE,SFO,MIA,TRUE,TRUE,0,7,TRUE
2022-06-02,1089329425,04/24/2011,adam,Hurley,Flight Deal,R62011495,FALSE,SFO,ATL,TRUE,,,9,TRUE
2024-05-23,9752800793,12/05/2003,alicia,Brown,Flight Deal,V79761275,TRUE,ttt,MIA,TRUE,TRUE,4,18,FALSE
2022-10-15,9752800793,12/05/2003,alicia,brown,Flight Status,S30121420,FALSE,LAX,MIA,TRUE,FALSE,0,6,FALSE
2023-02-22,9752800793,2003/12/05,alicia,brown,Cancel Flight,F89007185,FALSE,DEN,YYY,TRUE,FALSE,-1,4,FALSE
2022-02-27,9752800793,05-12-2003,alicia,brown,Cancel Flight,I68011615,,ORD,JFK,TRUE,FALSE,12,10,FALSE
2022-05-16,4939712645,08/10/2011,lee,patrick,New Flight,J20464555,TRUE,ttt,JFK,TRUE,TRUE,10,20,TRUE
2021-07-19,4939712645,08/10/2011,lee,patrick,Cancel Flight,N65991027,TRUE,DEN,SEA,FALSE,,2,16,FALSE
2023-05-12,4939712645,08/10/2011,LEE,patrick,Flight Deal,M64878192,FALSE,ORD,MIA,FALSE,FALSE,0,20,TRUE
2023-09-11,9864589506,2001/07/01,STEVEN,Mullins,Flight Deal,U48163179,TRUE,ORD,JFK,FALSE,TRUE,0,9,FALSE
2021-02-11,9864589506,2001/07/01,steven,mullins,Flight Status,E09877147,,DEN,SEA,FALSE,FALSE,-1,,TRUE
2021-07-18,9864589506,2001/07/01,STEVEN,mullins,Cancel Flight,N40279905,TRUE,ATL,,TRUE,TRUE,9,21,FALSE
2024-05-23,5761897577,22-01-2023,CHRISTINE,barnes,Cancel Flight,U40776931,TRUE,JFK,SEA,TRUE,,0,21,FALSE
2022-02-28,5761897577,,christine,barnes,Flight Status,N52156471,FALSE,DEN,MIA,FALSE,FALSE,-1,7,FALSE
2021-11-03,5761897577,2023/01/22,christine,barnes,Flight Status,G12225365,TRUE,DEN,MIA,FALSE,TRUE,-1,1,FALSE
2022-04-14,5761897577,22-01-2023,CHRISTINE,barnes,New Flight,,FALSE,SEA,SFO,FALSE,,-1,8,FALSE
2023-03-24,5761897577,22-01-2023,christine,Barnes,Cancel Flight,X33782688,TRUE,ATL,SFO,TRUE,FALSE,9,18,TRUE
2022-03-17,5761897577,01/22/2023,christine,Barnes,New Flight,B52021520,FALSE,ttt,LAX,TRUE,TRUE,4,20,FALSE
2023-09-05,5761897577,22-01-2023,CHRISTINE,barnes,Flight Deal,N23547031,TRUE,DFW,ATL,,FALSE,11,1,FALSE
2023-07-10,5761897577,2023/01/22,CHRISTINE,Barnes,,C20842472,,ORD,,FALSE,FALSE,-1,16,FALSE
2024-01-20,5761897577,22-01-2023,CHRISTINE,barnes,Flight Status,L78241848,FALSE,JFK,,TRUE,FALSE,2,8,TRUE
2023-12-16,,2023/01/22,christine,Barnes,Flight Status,C23957017,TRUE,SFO,LAX,TRUE,,1,3,FALSE
2023-05-18,1745014994,2002/04/07,thomas,graves,Cancel Flight,A27961958,TRUE,BOS,JFK,TRUE,FALSE,9,1,FALSE
2024-09-30,1745014994,2002/04/07,THOMAS,Graves,Flight Status,F14825291,FALSE,JFK,SEA,TRUE,TRUE,3,8,FALSE
2022-12-19,1745014994,07-04-2002,thomas,,Flight Deal,U37062301,,SFO,DFW,FALSE,TRUE,0,1,TRUE
2021-08-23,1745014994,07-04-2002,thomas,graves,Flight Deal,S59214024,FALSE,MIA,DFW,TRUE,FALSE,0,18,TRUE
2021-04-06,1745014994,04/07/2002,THOMAS,graves,Flight Status,J62240406,TRUE,BOS,DEN,FALSE,TRUE,7,13,FALSE
2021-10-20,1745014994,2002/04/07,THOMAS,Graves,Flight Deal,M45272271,,SFO,LAX,FALSE,FALSE,,9,TRUE
2021-09-23,1745014994,2002/04/07,thomas,graves,Flight Deal,N16810084,TRUE,DEN,LAX,FALSE,TRUE,13,17,TRUE
2021-04-20,1745014994,2002/04/07,THOMAS,Graves,Flight Deal,Y13479744,TRUE,ORD,MIA,TRUE,TRUE,-1,12,TRUE
2023-01-11,1745014994,07-04-2002,thomas,graves,Flight Deal,X78683383,TRUE,LAX,SFO,FALSE,TRUE,-1,7,TRUE
2022-06-24,1745014994,07-04-2002,thomas,Graves,New Flight,H02764641,,DEN,DFW,FALSE,FALSE,4,5,TRUE
2023-04-01,12758200,,ALEX,Craig,Cancel Flight,J00090933,FALSE,BOS,ORD,FALSE,FALSE,-1,8,
2023-01-04,12758200,,alex,Craig,New Flight,Q70737452,TRUE,SEA,DFW,TRUE,FALSE,0,12,FALSE
2023-05-02,12758200,05/30/1988,ALEX,craig,Flight Deal,M25589134,FALSE,BOS,SEA,FALSE,TRUE,-1,7,FALSE
2021-09-30,12758200,1988/05/30,ALEX,craig,Flight Status,T44006571,FALSE,LAX,DFW,TRUE,TRUE,11,16,FALSE
2024-03-15,1107077278,05/23/1999,MARY,hayes,Flight Status,A96357101,TRUE,JFK,DEN,TRUE,FALSE,-1,,FALSE
2021-12-17,1107077278,05/23/1999,mary,Hayes,,C15461336,FALSE,SFO,YYY,FALSE,FALSE,,,TRUE
2024-08-04,1107077278,05/23/1999,MARY,Hayes,Cancel Flight,T78512069,TRUE,JFK,SEA,,FALSE,10,19,FALSE
2022-09-28,1107077278,23-05-1999,MARY,hayes,New Flight,J59037165,TRUE,DFW,SEA,TRUE,TRUE,4,13,TRUE
2021-08-24,1107077278,,mary,Hayes,Cancel Flight,W41801796,TRUE,ATL,DEN,TRUE,TRUE,8,,FALSE
2022-08-12,1107077278,1999/05/23,MARY,hayes,New Flight,F74758378,TRUE,,JFK,FALSE,TRUE,2,2,FALSE
2023-08-29,1107077278,1999/05/23,mary,hayes,Flight Deal,R73328584,TRUE,DEN,MIA,TRUE,TRUE,3,18,FALSE
2022-02-18,1107077278,23-05-1999,mary,hayes,,K62753968,TRUE,ORD,SFO,FALSE,FALSE,3,8,FALSE
2023-04-01,1107077278,23-05-1999,MARY,Hayes,Flight Deal,L49144801,TRUE,BOS,ATL,TRUE,FALSE,0,23,TRUE
2021-10-25,1107077278,1999/05/23,mary,hayes,Flight Status,V58957269,FALSE,DFW,DEN,TRUE,TRUE,1,9,FALSE
2022-02-08,2710187265,2024/01/24,david,Hicks,Cancel Flight,L30938423,TRUE,SEA,JFK,TRUE,FALSE,-1,19,FALSE
2023-09-09,2710187265,,DAVID,Hicks,Cancel Flight,T64431186,TRUE,ATL,SFO,FALSE,TRUE,0,8,TRUE
2022-06-15,2710187265,01/24/2024,david,Hicks,New Flight,B27326562,TRUE,DFW,LAX,FALSE,TRUE,4,13,TRUE
